ROK	22483908608
MKC	22408542208
CSGP	22216335360
CTRA	22216042496
DASH	22153336832
TSCO	21860624384
CDW	21595590656
DHI	21579440128
ARE	21482752000
EFX	21447772160
ZBH	21425055744
HIG	21399244800
WST	21373032448
ZS	21314916352
ETR	21293256704
AEE	21290815488
LH	21278357504
SNAP	21026713600
LUV	20943206400
BALL	20942981120
TTWO	20860041216
CHD	20856457216
INVH	20855590912
ULTA	20792530944
FE	20536424448
ANSS	20471379968
DRE	20435159040
MTCH	20002932736
PCG	19874799616
CEG	19726086144
NTRS	19573133312
RJF	19501477888
MAA	19418011648
VTR	19405240320
FTV	19381282816
DAL	19263791104
MPWR	19256096768
VMC	19226064896
SUI	19201961984
LYV	19152816128
PPL	19023091712
LEN	18992939008
CF	18926460928
MLM	18868680704
IT	18788136960
MOS	18671599616
CTLT	18636357632
WAT	18583193600
CINF	18529021952
GPC	18522042368
MDB	18360397824
AVTR	18212515840
ALGN	18149695488
HPE	18060687360
VFC	18017701888
CMS	17967687680
CFG	17920280576
WRB	17908482048
FMCCT	17878269952
RF	17839603712
PLTR	17825798144
ACC	17765074944
MRO	17621506048
VRSN	17601689600
RBLX	17582241792
LBRDA	17577132032
FOX	17533462528
CNP	17467209728
HBAN	17442740224
MKL	17432444928
URI	17335713792
ESS	17273733120
DOV	17187115008
EPAM	17162474496
PWR	17134424064
PKI	17110714368
AGR	17082172416
TDY	17060652032
HOLX	17007782912
ALNY	16795563008
FLT	16719534080
JBHT	16632205312
PFG	16545748992
ARES	16468622336
PAYC	16388485120
KEY	16336891904
INCY	16200875008
WPC	16190936064
EXPD	16072510464
PARA	16068572160
TW	16027259904
ROL	15980359680
BBY	15867589632
HEI	15793584128
BR	15792821248
J	15677058048
ZBRA	15536207872
IP	15521942528
CAG	15519158272
EXPE	15518140416
SWK	15496556544
BRO	15488318464
DGX	15483963392
TWLO	15473600512
CLX	15461309440
WAB	15455674368
LPLA	15330033664
ACI	15321710592
MOH	15178645504
UI	15086474240
COIN	15056631808
SPLK	15055413248
SWKS	14998302720
COO	14996815872
BG	14977465344
IEP	14937062400
TRMB	14718355456
TRU	14680120320
ATO	14661912576
SYF	14653507584
TER	14639350784
WDC	14562312192
AKAM	14531647488
BMRN	14503609344
TRGP	14470398976
SSNC	14430794752
L	14394857472
HUBS	14291082240
NTAP	14266755072
NET	14230457344
PODD	14198670336
DRI	14182255616
CPB	14127072256
BIO	14110504960
BXP	14104080384
KMX	14043881472
GNRC	14041323520
CAH	14027267072
EVRG	13984389120
FWONK	13979303936
DPZ	13926384640
CPT	13887141888
LNT	13849949184
ZI	13844447232
IRM	13711620096
FMC	13705942016
APA	13647661056
EQT	13598924800
FDS	13596163072
ELS	13585692672
LSXMB	13555227648
LKQ	13510932480
RKT	13473894400
XYL	13472756736
CE	13441146880
PEAK	13424177152
CHWY	13396333568
IEX	13395987456
STLD	13346043904
POOL	13318685696
OVV	13293230080
AMH	13285031936
AES	13283734528
OKTA	13272370176
APP	13246732288
LDOS	13242548224
SJM	13242310656
HWM	13231156224
PKG	13072253952
WMG	13072015360
OMC	13068160000
ENTG	13013515264
TYL	12932743168
TECH	12919590912
CHRW	12885682176
VTRS	12850698240
TXT	12831852544
NLOK	12807813120
JKHY	12715112448
AVY	12694318080
WLK	12690454528
NVR	12512260096
PTC	12415832064
CTXS	12356740096
AZPN	12293860352
PINS	12221393920
CSL	12118645760
ROKU	12112386048
BEN	12088162304
HST	11943977984
TPL	11942068224
UAL	11925682176
DOCU	11906665472
MGM	11788858368
BILL	11762472960
CNA	11755863040
KIM	11754492928
CG	11744107520
TFX	11683283968
CBOE	11647872000
EMN	11638044672
FHN	11499834368
DT	11499536384
HAS	11498387456
AFG	11436857344
NDSN	11386761216
TAP	11334842368
CCK	11322957824
CCL	11248865280
GLPI	11211268096
Y	11165548544
BAH	11152654336
MAS	11150524416
LUMN	11146717184
DAR	11102472192
U	11085686784
SBNY	11047010304
WTRG	11022580736
NI	10948429824
GDDY	10806189056
AR	10797759488
ALLY	10725128192
IPG	10711597056
GME	10679375872
CHK	10626391040
CRL	10596886528
ABMD	10583127040
RS	10559053824
SNA	10543539200
DINO	10529758208
PATH	10491539456
MMP	10421493760
AAP	10413672448
UTHR	10366337024
SCI	10359111680
BHVN	10301263872
HSIC	10288941056
BURL	10237211648
WRK	10234856448
QRVO	10206158848
FNF	10108150784
REG	10105131008
FCNCA	10062943232
EQH	10054748160
MKTX	10029558784
FICO	9984079872
CMA	9928606720
MORN	9858803712
DOX	9844397056
VST	9832587264
GGG	9815166976
BKI	9808701440
PLUG	9782830080
RPM	9762703360
WES	9752616960
REXR	9707241472
LW	9690949632
PLAN	9593149440
ELAN	9496142848
RCL	9441019904
HUBB	9343505408
GL	9343298560
ERIE	9290346496
NLY	9288069120
AIZ	9285329920
FFIV	9241935872
AA	9237206016
JNPR	9172667392
BSY	9152207872
CUBE	9148868608
ETSY	9128415232
UHAL	9117038592
EWBC	9089208320
LAMR	9084667904
BRKR	9064256512
LSI	9061525504
PCTY	9032199168
WSO	9028128768
OLPX	9026588672
ACM	9010917376
MTN	8993739776
NWS	8990961664
SNX	8937663488
NBIX	8923997184
PHM	8832594944
MPW	8797465600
CLF	8794592256
BLDR	8793688064
NRG	8779507712
RHI	8761549824
DISH	8755517440
ARCC	8691070976
NFE	8636405760
WHR	8600091648
CZR	8598220800
BWA	8480955904
AAL	8469675520
LNC	8394452992
SEE	8385221632
HII	8384281600
OGN	8339584512
JLL	8283290112
H	8278540800
AOS	8251210752
AGCO	8247514624
NLSN	8244163584
WSM	8224742400
BJ	8128493568
TPR	8095434752
UGI	8088930304
RGEN	8084932608
AGL	8069543424
ZION	8025054720
MAT	8022764032
SWCH	8004208128
PAG	7987538944
DBX	7910220288
WBS	7834575872
CBSH	7816318976
WOLF	7739550720
TTC	7720477184
CAR	7718241792
SWN	7712803328
JBL	7686386688
LEA	7678535168
UHS	7658247168
MHK	7652049920
ARMK	7647015424
LAD	7643389440
FBHS	7627356160
COLD	7615080960
PSTG	7604805632
PNW	7603837440
RGA	7602014208
FRT	7588096512
XRAY	7579601408
CFR	7578188288
WAL	7576491520
NWL	7571184640
IVZ	7535213568
CGNX	7463784448
RRX	7419397632
OLN	7376047104
ZG	7368985600
KNX	7368738304
CHNG	7355226624
LEGN	7338168320
OC	7337170432
CNXC	7303698432
HTZ	7286122496
NNN	7273920000
FSLR	7269028352
LECO	7266531328
RRC	7262935040
SEIC	7247644672
STOR	7235849216
PPC	7221916160
ARW	7217844224
DLB	7204912128
RGLD	7199942144
DVA	7194330112
CABO	7191468032
WSC	7160758272
PAA	7153160704
TOST	7104894464
WEX	7091821056
OGE	7061159936
DXC	7045815808
WMS	7045577216
MASI	7042398208
MANH	7027687936
XM	6999546880
BBWI	6944424960
IAC	6943642112
DECK	6918223360
GTLB	6902021120
MIDD	6886836736
FND	6870184448
ZEN	6867310080
DXCM	6848712000
CASY	6837793792
CDAY	6833916416
UNM	6811087872
BERY	6795145216
MRVI	6793610752
CHDN	6781467648
CHE	6745434112
PDCE	6742601728
NOV	6720774144
LII	6711070208
DOCS	6699781120
EXAS	6692947456
QDEL	6687575552
CIEN	6670854656
LEVI	6669113344
ST	6651753984
STWD	6651036160
OHI	6646801408
LSCC	6646611456
PSHZF	6637152256
SYNH	6632499712
ORI	6606933504
S	6600548864
GNTX	6592987648
EGP	6592478208
TTEK	6585867264
MGY	6544092672
COHR	6540051968
PFGC	6537984512
FIVE	6533404160
AN	6502620672
JEF	6476215296
NXST	6468728832
RL	6458149376
AMC	6416624640
CHH	6397888512
ESTC	6396358656
DCP	6395274752
CWEN	6380895744
USFD	6378682880
ATR	6373049856
CDK	6368318976
KBR	6352771072
AIRC	6346718720
HTA	6345350144
DNB	6337582592
MTDR	6336224768
IOT	6314104320
HALO	6312591872
HOOD	6309346304
PB	6305269760
WYNN	6296899584
PCOR	6295591936
CACC	6239864832
AVLR	6220466688
EXEL	6206338560
WU	6195845120
COTY	6184837632
CACI	6169246208
FIVN	6147482624
NFG	6139420672
FR	6130126336
LFUS	6114169344
WH	6094243840
HUN	6071554048
DKS	6063705600
ACHC	6060762624
RH	6060715520
MP	6041243648
VOYA	6040585728
SF	6038652928
GWRE	6038133760
KRC	6033611776
PII	6015772160
SWAV	6014470656
GPK	6005820416
BPOP	6001026048
SRPT	5999943680
NSA	5997408768
AXON	5996203008
PLNT	5951522816
GTLS	5940401664
CFLT	5917551104
BEPC	5898740736
BRX	5894829568
NEP	5859952640
NVST	5859126272
SAIL	5840214016
FCN	5826481152
VNO	5823705088
HQY	5822214656
TREX	5816164864
SSB	5809356800
FYBR	5805623296
MSP	5790145536
DCI	5775930368
ADT	5755119104
MKSI	5728465408
SKX	5716759040
EDR	5714462720
SHC	5698762240
INGR	5696209920
CCCS	5680012800
SWX	5649671168
IIVI	5626252288
THC	5617754624
AGNC	5610419200
RCM	5602491392
MTZ	5599070208
BYD	5570155008
ITT	5548574720
BROS	5547928576
GMED	5532023296
WWD	5528407552
STAG	5524759040
RYN	5520424448
FFIN	5511808000
SHLX	5506059776
AFRM	5502320128
BMBL	5495542272
OSK	5456371200
WCC	5448894976
PNFP	5437876736
KSS	5437754368
MUSA	5436647424
LITE	5428229632
INFA	5393166336
HRB	5389489664
EHC	5387344384
M	5375778816
HCP	5372949504
AYI	5367915520
FAF	5365953536
MDU	5360332800
VLY	5351643648
XPO	5350637568
AZTA	5350450688
LSTR	5349301248
FSK	5342359552
DKNG	5322464256
CIVI	5316416512
MUR	5310615040
IONS	5304663040
FLO	5298929664
ASH	5263646720
GXO	5262547968
REYN	5257068032
EEFT	5242339840
ADC	5241337856
MQ	5237522432
BOKF	5219490304
GBCI	5219152384
UWMC	5216802816
HLI	5211772928
SNV	5191580160
ITCI	5170858496
AXTA	5160204288
TENB	5153121280
ROLL	5149122048
BLD	5147441152
PSB	5139459072
OLED	5116613632
MNDT	5113878528
ANAT	5109105664
VVV	5108936704
X	5108446208
ALK	5107986944
LYFT	5104896000
SLAB	5104822784
EME	5088107520
SON	5086209536
TDOC	5078876672
CW	5054416896
SITE	5042976768
SRC	5016403456
CCMP	4988899840
THG	4979794944
IDA	4967947264
ORCC	4940154368
RLI	4938537984
SAIC	4930791936
RNG	4929022976
SM	4928180224
OMCL	4926773248
RUN	4925048832
VNOM	4911229952
BC	4889880064
CC	4887945216
ROG	4873277440
CHPT	4862376448
NYT	4849303040
INSP	4844445184
DDS	4842564096
TXRH	4839927808
COKE	4839635968
WTFC	4838745088
IPGP	4835044864
TOL	4834782720
DTM	4830895616
NCLH	4807088640
QLYS	4806108160
SYNA	4801581056
LHCG	4791607296
KNSL	4786397696
TMX	4778713088
VMI	4756491264
CR	4751230464
SAFM	4749068800
IRDM	4747223552
SIGI	4742570496
UBSI	4728455680
VAC	4725330944
BXMT	4715219456
OPCH	4708359680
IRT	4685831680
POST	4684023808
APLS	4672054784
TGNA	4670977536
PENN	4648799744
IART	4629793792
LEG	4627854336
HOG	4626195456
BWXT	4613443584
SAIA	4612491264
PEN	4600811520
EXLS	4594493952
LNW	4589069312
DEI	4586164736
CLH	4576985088
SOFI	4573883392
OMF	4570201600
MSA	4566898176
AM	4554720256
AMN	4553176576
AMG	4549351936
IAA	4544177152
WWE	4536544256
TXG	4534880256
DRVN	4532766208
COLM	4530954240
ESI	4525734912
TNET	4524324864
MEDP	4498176512
PRI	4472226816
TWKS	4471782912
UNVR	4469416960
LPX	4461071872
CHX	4460583936
SLGN	4432000000
BFAM	4429696512
CVNA	4424015872
CMC	4407524352
HGV	4395466240
BKH	4393745920
EXPO	4388771328
NRZ	4387797504
OZK	4385471488
POWI	4383565312
CADE	4356646400
CUZ	4349859328
OWL	4344395776
WE	4343886336
DNA	4335001600
SEB	4319448064
PBF	4308726272
LTHM	4303672320
ONB	4303567872
HP	4303079424
VG	4302880256
ENLC	4293976832
HOMB	4285517056
VIRT	4285199658
DOCN	4283095040
WOOF	4259974912
LNTH	4246391552
OGS	4241729792
FIZZ	4241160448
SMG	4228655616
W	4227800576
TRNO	4223228928
SLM	4221275904
PECO	4219253760
HE	4217470720
SJI	4209576704
ORA	4203134464
RHP	4202669056
HXL	4200043264
NCR	4194985984
OCDX	4191268096
AMKR	4183273216
ALTR	4175151360
EXP	4170228480
ASGN	4169248768
SFBS	4163531008
NATI	4163462656
CELH	4162226432
AVT	4158309888
UMBF	4140002560
PINC	4133084416
AB	4123212288
MSM	4116084224
FNMAL	4115072512
COUP	4112985344
UFPI	4112854016
PYCR	4106886656
MAN	4104762112
NOVT	4102055424
FIBK	4100550400
EVA	4092200960
POR	4081484800
NJR	4058605568
PVH	4053118976
NYCB	4044549120
ALGM	4042430976
BL	4041533184
WTS	4033678336
CRUS	4015281152
